,nir08,green,swir16,swir22,red,blue,QA_PIXEL,lwir11,t1_90_red,t1_90_green,t1_90_blue,t1_90_nir08,t1_90_swir16,t1_90_swir22,t1_90_NDVI,t1_90_NDMI,t1_90_MNDWI,t1_90_NDWI,t1_90_NDBI,t1_90_NDTI,t1_90_NDFI,t1_90_is_composite,t1_90_older_than_45,t1_90_mean_valid_pixel_ratio,t1_90_days_from_sample,t1_90_ndti_ratio,t1_90_ndfi_ratio,t1_90_t1_90vp,NDVI,NDMI,MNDWI,NDWI,NDBI,NDTI,NDFI,t3_90_red,t3_90_green,t3_90_blue,t3_90_nir08,t3_90_swir16,t3_90_swir22,t3_90_NDVI,t3_90_NDMI,t3_90_MNDWI,t3_90_NDWI,t3_90_NDBI,t3_90_NDTI,t3_90_NDFI,t3_90_is_composite,t3_90_older_than_45,t3_90_mean_valid_pixel_ratio,t3_90_days_from_sample,t3_90_ndti_ratio,t3_90_ndfi_ratio,t3_90_t3_90vp,t3c_waterfrac,t1_waterfrac,t3_90_red_std,t3_90_green_std,t3_90_blue_std,t3_90_nir08_std,t3_90_swir16_std,t3_90_swir22_std,t3_90_NDVI_std,t3_90_NDMI_std,t3_90_MNDWI_std,t3_90_NDWI_std,t3_90_NDBI_std,t3_90_NDTI_std,t3_90_NDFI_std,t1_90_vp,t3_90_vp,t2_365_red_mean,t2_365_green_mean,t2_365_blue_mean,t2_365_nir08_mean,t2_365_swir16_mean,t2_365_swir22_mean,t2_365_NDVI_mean,t2_365_NDMI_mean,t2_365_MNDWI_mean,t2_365_NDWI_mean,t2_365_NDBI_mean,t2_365_NDTI_mean,t2_365_NDFI_mean,t2_365_NDMI_mean_time_mean,t2_365_NDMI_std_mean,t2_365_NDVI_mean_time_mean,t2_365_NDVI_std_mean,t2_365_NDFI_std_time_mean,t2_365_NDTI_std_time_mean,t2_365_NDFI_mean_time_mean,t2_365_NDTI_mean_time_mean,t2_365_t2_365vp_mean,t3_365_red_mean,t3_365_green_mean,t3_365_blue_mean,t3_365_nir08_mean,t3_365_swir16_mean,t3_365_swir22_mean,t3_365_NDVI_mean,t3_365_NDMI_mean,t3_365_MNDWI_mean,t3_365_NDWI_mean,t3_365_NDBI_mean,t3_365_NDTI_mean,t3_365_NDFI_mean,t3_365_NDMI_mean_time_mean,t3_365_SWIR_std_time_mean,t3_365_NDVI_amplitude_mean,t3_365_NDFI_std_time_mean,t3_365_NDTI_std_time_mean,t3_365_NDFI_mean_time_mean,t3_365_NDTI_mean_time_mean,t3_365_NDVI_std_mean,t3_365_NDBI_std_mean,t3_365_t3_365vp_mean,t2_365_red_std,t2_365_green_std,t2_365_blue_std,t2_365_nir08_std,t2_365_swir16_std,t2_365_swir22_std,t2_365_NDVI_std,t2_365_NDMI_std,t2_365_MNDWI_std,t2_365_NDWI_std,t2_365_NDBI_std,t2_365_NDTI_std,t2_365_NDFI_std,t2_365_NDMI_mean_time_std,t2_365_NDMI_std_std,t2_365_NDVI_mean_time_std,t2_365_NDVI_std_std,t2_365_NDFI_std_time_std,t2_365_NDTI_std_time_std,t2_365_NDFI_mean_time_std,t2_365_NDTI_mean_time_std,t3_365_red_std,t3_365_green_std,t3_365_blue_std,t3_365_nir08_std,t3_365_swir16_std,t3_365_swir22_std,t3_365_NDVI_std,t3_365_NDMI_std,t3_365_MNDWI_std,t3_365_NDWI_std,t3_365_NDBI_std,t3_365_NDTI_std,t3_365_NDFI_std,t3_365_NDMI_mean_time_std,t3_365_SWIR_std_time_std,t3_365_NDVI_amplitude_std,t3_365_NDFI_std_time_std,t3_365_NDTI_std_time_std,t3_365_NDFI_mean_time_std,t3_365_NDTI_mean_time_std,t3_365_NDVI_std_std,t3_365_NDBI_std_std,t3d_waterfrac,t2d_waterfrac,t2_365_vp,t3_365_vp,urban_sig_ec,urban_sig_drp,mine_sig_drp,mine_sig_ec,farm_sig_drp,farm_sig_ec,1km_urban_sig_ec,1km_urban_sig_drp,1km_mine_sig_drp,1km_mine_sig_ec,1km_farm_sig_drp,1km_farm_sig_ec
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.16997358677425886,0.08979209048049185,0.1487167998514268,0.11908569895676101,0.09450640634416879,0.0805808895025581,,,-0.027333872549019617,-0.031527058823529415,-0.04637156862745099,0.08866911764705883,0.04929939950980393,0.005286360294117646,0.40914098695532325,0.11253174667557041,-0.35317454522118996,-0.4219659656711754,-0.11253174667557041,0.00010613172723929289,-9.004961345245542e-05,1.0,,0.8663101604278075,,0.00267379679144385,0.0,1.0,0.2350817131548971,0.13287622702969684,0.18921810303351408,0.23001531953322496,0.13287622702969684,0.001215885282360751,0.0014633090034917753,-0.057979115293228585,-0.0646668534776215,-0.07783922878569192,0.019661212401791917,0.010328432619381541,-0.02686429793984287,0.2565860106845119,0.021336440452722896,-0.28294809947956007,-0.27830981296690316,-0.021323077150775877,-0.0005216875328771254,1.0129863750944378e-05,1.0,,0.9437507659209433,,0.0009667624351520269,0.0004629566590868861,1.0,0.0030704919595321415,0.0,0.06753198081627322,0.06337996472242616,0.05669028218150239,0.11219517951543252,0.10369897750579024,0.08428136871345125,0.4638159239646057,0.0999738311152628,0.9224394395235521,3.1157479859044073,0.10070915452168815,0.00900439114354776,0.8851704195850101,1.0,1.0,-0.027333872549019617,-0.031527058823529415,-0.04637156862745099,0.08866911764705883,0.04929939950980393,0.005286360294117646,0.40914098695532325,0.11253174667557041,-0.35317454522118996,-0.4219659656711754,-0.11253174667557041,0.00010613172723929289,-9.004961345245542e-05,,,,,,,,,0.8663101604278075,-0.057979115293228585,-0.0646668534776215,-0.07783922878569192,0.019661212401791917,0.010328432619381541,-0.02686429793984287,0.2565860106845119,0.021336440452722896,-0.28294809947956007,-0.27830981296690316,-0.021323077150775877,-0.0005216875328771254,1.0129863750944378e-05,,,,,,,,,,0.9437507659209434,0.09281043831313421,0.08619309982275132,0.07648994139667993,0.1657087917819491,0.15017113234210244,0.1194561353655084,0.2462431432488652,0.1474148970527693,0.18081849756412924,0.2265424289561547,0.1474148970527693,0.0057151029190719545,0.011664427234975478,,,,,,,,,0.1380483725163447,0.1303332066974006,0.11737987741798094,0.21572715177345508,0.20665243409841472,0.17018990960319363,0.6176524929051398,0.12732051554411467,1.1151959417081212,3.4510101676733815,0.12832953530601993,0.016384918381941473,0.6984175748596598,,,,,,,,,,0.0030704919595321415,0.0,0.8663101604278075,0.9437507659209434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.04030781707341076,0.02919144652402053,0.05747656567105439,0.056278975416401165,0.037132565529676836,0.026233729225405057,,,0.060614338235294114,0.05373160539215685,0.030068161764705875,0.22508595588235292,0.18115566176470585,0.11842063725490196,0.5802096966529795,0.11829846018935213,-0.5369249707824245,-0.6125430645319908,-0.11829846018935213,0.00011322647301388989,-0.0001297894131781868,1.0,,0.7887700534759359,,0.00267379679144385,0.0,1.0,0.1848543332249242,0.18312177990630069,0.07252053484511482,0.13473119282300175,0.18312177990630069,0.0014243450792315827,0.002984489147240629,0.06446831218256831,0.05276541984382021,0.028787308383600437,0.19601322726746642,0.18462619643659536,0.11929566609591373,0.48728168253266824,0.022635545709577477,-0.5400421167549659,-0.5505868460002274,-0.022318771420164082,-0.0007936601687164958,0.0008728064414389022,1.0,,0.8141796362613073,,0.0009531460628259419,0.002083304965890987,1.0,0.010754664742219379,0.0,0.030111991591271977,0.019631330940877455,0.013059983065028502,0.06541937663906643,0.060754339289203714,0.04891272028013085,0.16643193967859699,0.15373314079423336,0.08973170190579192,0.13615889801804407,0.1553383046797667,0.011516044758641097,0.8856122261008202,1.0,1.0,0.029991970588235294,0.024238330882352936,0.0038038725490196026,0.1767616875,0.13381757230392158,0.07832439705882353,0.5249401618004119,0.12156797345083092,-0.47813368375001747,-0.5490743278963631,-0.12156797345083092,0.0001655712255865798,-9.936116957509688e-05,,,,,,,,,0.7887700534759358,0.019294689274383513,0.009629818524393726,-0.010380611557236425,0.13087084723791886,0.11972168058543592,0.0650599413321578,0.40805592336058016,0.02667338448807677,-0.4499100972684586,-0.45399022856818755,-0.02710430823051139,-0.0007933071552256657,0.0005167394255004835,,,,,,,,,,0.8141796362613073,0.06042053478942746,0.05286712469472393,0.046976131207609816,0.08954448468731768,0.0954096960414161,0.08291913597869896,0.2106617848366778,0.17261875925693498,0.11711699864047453,0.1727663473103781,0.17261875925693498,0.0195371082664283,0.027692406111879814,,,,,,,,,0.07401568174924597,0.06454929505520833,0.05536822842686118,0.12690204321256898,0.12072797198197449,0.09875839749730894,0.3533601967034384,0.14869858894731514,0.5064041309150704,1.5396258490929633,0.32482587979754846,0.07818226551625045,0.4983510067218175,,,,,,,,,,0.010754664742219379,0.0,0.7887700534759358,0.8141796362613073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0434908925957067,0.026583535200092014,0.04400678194812005,0.04061133182999205,0.033056246338628685,0.02421007034499134,,,0.06476520833333332,0.05949582107843137,0.03314647058823529,0.2414133210784314,0.18296292892156862,0.11738736519607842,0.5708004535641635,0.13205604908979196,-0.514869075890769,-0.5989704313807194,-0.13205604908979196,0.0305717530711986,-0.0031309425063748703,1.0,,0.8065953654188949,,0.013368983957219251,0.0,1.0,0.15378196063897714,0.164642137514916,0.06634217666651128,0.10840377033584458,0.164642137514916,0.013519298552576591,0.03252691805122832,0.06186294901689792,0.05504064333955148,0.029770259732302115,0.21054398241445516,0.17437710321891045,0.11041048072602497,0.5379072168759372,0.08249323805199167,-0.508624981515274,-0.560012571173292,-0.08265593179321111,-0.06186133955337304,0.16520548964557857,1.0,,0.852902329761305,,0.019811821734453505,0.00590950558952084,1.0,0.032216336923516845,0.0,0.028380228387156533,0.019277140657627617,0.012230586296217082,0.07924536583747639,0.06231153529587813,0.04603484973297865,0.20378505487389204,0.15170663107985774,0.10897863023403531,0.13078930173486128,0.15020067560388733,0.09574023996235727,1.358229217672631,1.0,1.0,0.0447385241110333,0.03914032723506069,0.016066174573996263,0.20354751327614382,0.15464901581465923,0.09467696131924992,0.5429850266298144,0.1268321040077581,-0.49074093102928007,-0.5679219253860833,-0.1268321040077581,0.0007752479284097424,-0.00016460546295407548,0.1268321040077581,0.10864121655318172,0.5429850266298144,0.16075651826486922,0.03445767538340686,0.027104429350758335,-0.004953660615160706,0.019087116673488447,0.776559714795009,0.037924930746900704,0.029616856506724,0.007119644352039524,0.16390527223133491,0.14284805559486471,0.08480297679517551,0.4483818024286772,0.04843563296213608,-0.47109530576403646,-0.4929617866312698,-0.05015080559089387,-0.0026358728221516675,0.006356777260971621,0.05092981179984994,0.09815255086736248,0.3341370406745594,0.23344264346700702,0.07040482855302568,0.29746563389582265,-0.0735918398462609,0.22492239285164606,0.09189395090885745,0.8151999564276086,0.08071461550689556,0.07115175869731631,0.06787668623462374,0.10315981918793853,0.09874369081346093,0.08594332619293688,0.19731447438165803,0.15720074140623497,0.11332682915981744,0.15693605988471968,0.15720074140623497,0.023758383633975137,0.035377804092737594,0.13472644999220845,0.0534524750127886,0.142583199675475,0.07731533777665993,0.01884775559663299,0.023904433426906624,0.015660625225185475,0.007152088508084618,0.06867269062738696,0.05899552878774775,0.05218139713996228,0.1175045344741613,0.10519257965839282,0.08497262084240233,2.2652370546964935,0.15532541879950917,1.9720088480639721,1.4794438844864422,0.25374032157975707,0.08198764337078492,0.6098725609668854,0.12392322010218945,0.03232375214417837,2.5260501037151903,0.13902592517290208,0.07042128073445622,0.24106861140604718,0.07611630200880248,3.1079843428547687,0.32498041339691636,0.019410138750834006,0.0,0.776559714795009,0.8151999564276086,9.954224513191304e-06,9.182948972624536e-06,0.00014523138157283348,0.0001297917451246612,0.05078796781438605,0.04704670494228989,0.0,0.0,0.0,0.0,0.23922725049646157,0.21314306796137875
9,0.05553905099707148,0.02695037681629734,0.04289085503798218,0.038747789536486596,0.033988936760325716,0.024022874944639887,,,0.06304616421568628,0.05904982843137255,0.032713051470588235,0.2508503799019608,0.17943617647058824,0.11315710784313726,0.5925305215768569,0.16195915642460867,-0.5116064365120799,-0.6139101070760141,-0.16195915642460867,0.027532966275465198,-0.0044048145287405175,1.0,,0.6065953654188948,,0.013368983957219251,0.0,1.0,0.16735962069541424,0.18283350463876022,0.07126397672059932,0.11382657121618513,0.18283350463876022,0.028053982321973897,0.043130088501719385,0.06015403713525142,0.05465863426083523,0.029412185325635543,0.21490524141828135,0.17060832185019267,0.10729011330523823,0.5531783562796679,0.10246412271291179,-0.50208735719079,-0.5689390828362777,-0.10275524574816149,-0.0612048102735914,0.1738831224337736,1.0,,0.6533843493416484,,0.01993436908538827,0.006290764014651217,1.0,0.02591467981100475,0.0,0.02817664249007297,0.019359346499636994,0.012094439923307497,0.08509810598330844,0.061102592681755115,0.04488856693549478,0.18406207405504602,0.16189380834179132,0.12545520701415108,0.13945473591907803,0.16130984501056284,0.09632929826114597,1.3631348664233787,1.0,1.0,0.0447385241110333,0.03914032723506069,0.016066174573996263,0.20354751327614382,0.15464901581465923,0.09467696131924992,0.5429850266298144,0.1268321040077581,-0.49074093102928007,-0.5679219253860833,-0.1268321040077581,0.0007752479284097424,-0.00016460546295407548,0.1268321040077581,0.10864121655318172,0.5429850266298144,0.16075651826486922,0.03445767538340686,0.027104429350758335,-0.004953660615160706,0.019087116673488447,0.7059633770863717,0.037924930746900704,0.029616856506724,0.007119644352039524,0.16390527223133491,0.14284805559486471,0.08480297679517551,0.4483818024286772,0.04843563296213608,-0.47109530576403646,-0.4929617866312698,-0.05015080559089387,-0.0026358728221516675,0.006356777260971621,0.05092981179984994,0.09815255086736248,0.3341370406745594,0.23344264346700702,0.07040482855302568,0.29746563389582265,-0.0735918398462609,0.22492239285164606,0.09189395090885745,0.7410908694796441,0.08071461550689556,0.07115175869731631,0.06787668623462374,0.10315981918793853,0.09874369081346093,0.08594332619293688,0.19731447438165803,0.15720074140623497,0.11332682915981744,0.15693605988471968,0.15720074140623497,0.023758383633975137,0.035377804092737594,0.13472644999220845,0.0534524750127886,0.142583199675475,0.07731533777665993,0.01884775559663299,0.023904433426906624,0.015660625225185475,0.007152088508084618,0.06867269062738696,0.05899552878774775,0.05218139713996228,0.1175045344741613,0.10519257965839282,0.08497262084240233,2.2652370546964935,0.15532541879950917,1.9720088480639721,1.4794438844864422,0.25374032157975707,0.08198764337078492,0.6098725609668854,0.12392322010218945,0.03232375214417837,2.5260501037151903,0.13902592517290208,0.07042128073445622,0.24106861140604718,0.07611630200880248,3.1079843428547687,0.32498041339691636,0.017645580682576368,0.0,0.7059633770863717,0.7410908694796441,9.954224513191304e-06,9.182948972624536e-06,0.00014523138157283348,0.0001297917451246612,0.05078796781438605,0.04704670494228989,0.0,0.0,0.0,0.0,0.23922725049646157,0.21314306796137875
